MOVIE NAME,IMDB RATING (out of 10)
Gardener Burning Weeds,4.4
"Beach and Pier at Trouville, 1st part",4.1
"Beach and Pier at Trouville, 2nd part",4.7
Market Day,3.9
Leaving Jerusalem by Railway,6.2
Libération des territoriaux,3.9
The House of the Devil,6.7
Marée montante sur Brise-Larmes,4.4
Melbourne,4.5
Miss de Vere,4.2
The Mysterious Paper,4.7
Place Saint-Augustin,4.2
"Place de l'Opéra, First View",4.5
"Place de l'Opéra, Second View",5.0
Place de la Bastille,4.4
Place de la Concorde,4.6
Place du théâtre français,4.3
The Beach at Villiers in a Gale,4.4
Smarter than the Teacher,5.1
Pompiers à Lyon,5.6
The Docks at Marseilles,4.8
Retour au cantonnement,4.2
Naval Review at Cherburg,5.1
Rip Leaving Sleepy Hollow,4.4
Rip Meeting the Dwarf,4.5
Rip Passing Over the Mountain,4.4
Rip's Toast,4.5
Rip's Toast to Hudson,4.5
Rip's Twenty Years' Sleep,4.4
French Regiment Going to the Parade,4.8
Réunion d'officiers,4.7
Sac au dos,4.7
Saída do Pessoal Operário da Fábrica Confiança,5.0
Salut malencontreux d'un déserteur,4.7
"Rescue on the River, Pt. 2",4.8
"Rescue on the River, Pt. 1",4.5
The Soldier's Courtship,4.3
Closing Hours at Vibert's Perfume Factory,4.6
Conjuring,5.4
Tempête sur la jetée du treport,4.9
The Terrible Railway Accident,4.2
Tom Old Boot,5.2
Les tribulations d'un concierge,4.2
Academy for Young Ladies,5.3
Un petit diable,6.1
Une altercation au café,5.0
A Terrible Night,5.7
Card Party,5.1
La voiture du potier,6.0
The Wandering Negro Minstrels,3.7
A Watermelon Feast,5.9
Au réfectoire,4.7
The Bewitched Inn,6.4
L'aveugle,4.8
Baignade dans le torrent,4.9
Ballet libella,5.1
Buffalo Bill and Escort,4.2
Les cambrioleurs,5.0
Chez le magnétiseur,5.2
En classe,2.7
Le cocher de fiacre endormi,4.4
The Corbett-Fitzsimmons Fight,5.3
Le Coucher d'Yvette,2.8
Behind the Scenes,4.1
Danse fleur de lotus,5.4
Faust et Marguerite,4.4
The Hallucinated Alchemist,6.2
The Haunted Castle,5.7
Henley Regatta,3.3
The Hypnotist at Work,4.7
A Badly Managed Hotel,3.5
Idylle,3.0
Idylle interrompue,2.5
The Devil's Laboratory,5.1
The Last Days of Pompeii,4.5
Leçon de danse,3.0
Niagara Falls,5.4
Le planton du colonel,4.0
Le pêcheur dans le torrent,5.0
Riña en un café,4.6
Salida de los trabajadores de la fábrica España Industrial,3.0
Salida de misa de doce del Pilar de Zaragoza,4.1
Salida del público de la iglesia parroquial de Santa María de Sans,2.5
Slagsmål i gamla Stockholm,3.9
The Twins' Tea Party,5.2
Une nuit agitée,3.1
The X-Ray Fiend,6.1
Battle of Santiago Bay,4.1
Výstavní párkar a lepic plakátù,4.5
A Sea Cave Near Lisbon,4.9
Brittania,3.8
The Burglar on the Roof,4.6
The Cavalier's Dream,5.2
The Cave of the Demons,4.4
Le chemin de croix,6.3
Cinderella,4.8
"Come Along, Do!",5.2
The Corsican Brothers,4.8
Cripple Creek Bar-Room Scene,3.4
La crèche à Bethléem,4.3
Le cuirassé Maine,4.8
La cène,2.9
The Deserter,5.3
Dorotea,4.7
Dostavenícko ve mlýnici,3.6
Déménagement à la cloche de bois,4.5
"Ella Lola, a la Trilby",5.3
L'entrée à Jérusalem,4.4
Express Train on a Railway Cutting,4.5
Les farces de Jocko,3.6
Faust and Mephistopheles,3.8
La flagellation,3.1
La fuite en Égypte,2.7
Glasgow Fire Engine,4.8
Gran corrida de toros,4.4
Indian War Council,4.6
Le jardin des oliviers,4.4
Je vous y prrrrends!,4.5
Jésus devant Pilate,4.5
Leçons de boxe,4.1
"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona",5.7
London Express,4.5
The Miller and Chimney Sweep,4.8
Photographing a Ghost,7.4
A Novice at X-rays,3.2
"The Astronomer's Dream; or, The Man in the Moon",4.7
Saida do Paquete Duque de Braganca,3.9
Scène d'escamotage,3.9
Tearing Down the Spanish Flag,5.0
Smích a plác,3.4
Visita de Doña María Cristina y Alfonso XIII a Barcelona,5.9
Waves and Spray,6.2
L'affaire Dreyfus,4.6
Aladdin and the Wonderful Lamp,4.7
The Artist and the Flower Girl,4.6
Aspectos da Praia de Cascais,4.3
Au cabaret,4.9
L'aveugle,4.4
Battlefield,6.5
Beauty and the Beast,3.5
Boat Race,3.2
Bombardment of Mafeking,6.0
La bonne absinthe,6.2
Casey at the Bat,5.6
Cinderella,4.3
Portuguese Railway Train,6.4
Le chiffonnier,5.7
Choque de dos transatlánticos,6.4
Cleopatra's Tomb,4.9
Haggard's She: The Pillar of Fire,6.1
Courte échelle,5.2
Le crucifiement,3.8
Les dangers de l'alcoolisme,4.8
Danse serpentine par Mme. Bob Walter,3.2
Distributing a War Extra,5.3
La descente de croix,5.7
The Sign of the Cross,4.4
Le déjeuner des enfants,5.0
Erreur judiciaire,4.7
The Haunted House,5.1
A Turn of the Century Illusionist,5.6
King John,5.5
A Kiss in the Tunnel,5.6
The Legacy,5.6
Llegada del vapor Bellver a Mallorca,6.1
Matches: An Appeal,4.2
La mauvaise soupe,3.5
The Miser's Doom,3.7
Monnaie de lapin,3.6
Mésaventure d'un charbonnier,5.1
Panorama from the Tower of the Brooklyn Bridge,5.3
La résurrection,4.5
Le tondeur de chiens,5.7
Le tonnelier,4.9
Transformations,5.2
A Midnight Episode,3.4
Un lunch,5.0
"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria",3.6
Summoning the Spirits,3.8
Above the Limit,5.7
Above the Speedway,4.0
L'angélus,5.7
L'arléquine,6.8
"Army Life; or, How Soldiers Are Made: Mounted Infantry",4.4
Arrivée d'Arléquin,5.3
Arrivée de Pierette et Pierrot,4.0
As Seen Through a Telescope,6.0
Attack on a China Mission,3.4
Avenue de l'opéra,5.3
Badinage,4.8
Bataille d'oreillers,5.2
Bataille de boules de neige,6.1
Buffalo Bill's Show Parade,6.6
Buffalo Bill's Wild West Parade,5.8
Buffalo Bill's Wild West Parade,4.2
Buffalo Bill's Wild West Show,5.7
Le bébé,3.2
Chez le Maréchal-Ferrant,4.8
Chez le photographe,3.6
Chinese Magic,3.4
Chirurgie fin de siècle,4.6
The Clown and the Alchemist,3.8
La concierge,5.5
Coucher d'une Parisienne,4.2
Dance de l'ivresse,4.9
Dans les coulisses,4.9
Danse du papillon,4.9
Danse du pas des foulards par des almées,3.8
La danse du ventre,3.7
Danse du voile,3.4
Danse serpentine,4.7
Danses,4.3
Déclaration d'amour,5.5
Le départ d'Arlequin et de Pierrette,5.7
The Enchanted Drawing,5.2
Faust and Marguerite,5.1
"La fée aux choux, ou la naissance des enfants",6.2
Gavotte directoire,5.8
Grandma's Reading Glass,6.2
L'Habanera,7.1
"Hamlet, Duel Scene with Laertes",6.8
Happy Hooligan,6.2
The House That Jack Built,5.5
How It Feels to Be Run Over,6.0
Chimmie Hicks and the Rum Omelet,5.6
Le lapin,6.2
Let Me Dream Again,5.3
Leçon de danse,6.0
Le marchand de coco,3.6
Marché à la volaille,6.3
Le matelot,3.4
Eine moderne Jungfrau von Orleans,5.8
Maple Leaf Viewing,5.1
Mort d'Adonis,5.2
The Mystic Swing,6.1
Panorama de Barcelona: monumentos y fiestas,5.4
Pas Japonais,5.0
Pas de grâce,5.6
Pas des éventails,4.8
Pas du poignard,4.8
La paysanne,4.8
La petite magicienne,5.3
Le Polichinelle,3.6
La poupée noire,5.1
La reine des jouets,6.7
Retour des champs,4.0
Le sang d'Adonis donnant naissance à la rose rouge,5.5
Saut humidifié de M. Plick,5.4
Soldiers of the Cross,4.2
La source,5.4
Spanish Bullfight,8.1
Suite de la danse,6.2
La tarentelle,5.0
Uncle Josh in a Spooky Hotel,5.5
Uncle Josh's Nightmare,4.9
Une rage de dents,3.6
Valse directoire,5.8
Valse lente,5.7
L'écossaise,6.1
Another Job for the Undertaker,5.1
Buffalo Bill's Wild West Parade,7.2
Charmant froufrou,5.3
"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant",6.7
The Countryman's First Sight of the Animated Pictures,4.5
Danses basques,5.6
Day at the Circus,4.8
Execution of Czolgosz with Panorama of Auburn Prison,6.4
Exercício de Artilharia no Hipódromo de Belém,6.4
Fire!,4.5
Frivolité,6.7
The Haunted Curiosity Shop,3.8
History of a Crime,4.3
The India Rubber Head,6.4
Hussards et grisettes,4.8
Lavatory moderne,7.3
Lecture quotidienne,5.8
Magical Sword,5.2
Panorama of Esplanade by Night,5.6
Parada de Bombeiros,5.2
Uma Parada dos Alunos da Casa Pia de Lisboa,5.0
Pas de colombine,6.7
Little Red Riding Hood,6.9
A Road for Children's Bicycles in Barcelona,3.7
Scrooge; or Marley's Ghost,4.8
Scène d'amour,5.9
Scène d'ivresse,5.7
The Devil's Seven Castles,5.0
Tel est pris qui croyait prendre,6.6
Uma Tourada à Antiga Portuguesa,7.4
A táncz,4.7
Undressing Extraordinary,3.7
Les vagues,6.2
Visita de la escuadra inglesa a Barcelona,4.8
Sleeping Beauty,3.4
Buffalo Bill's Wild West Show,5.5
Carnaval en las ramblas,5.7
Carreras de caballos en el hipódromo de Barcelona,4.4
Miss Dundee and Her Performing Dogs,4.7
Les clowns,6.5
La cour des miracles,5.6
The Coronation of King Edward VII,6.0
Danse excentrique,5.5
Danse fantaisiste,2.8
Danse mauresque,5.8
La dent récalcitrante,5.1
The Enchanted Cup,4.0
En faction,5.4
Farces de cuisinière,4.5
La fiole enchantée,6.6
Fruits de saison,4.9
La gavotte,4.3
La gigue,4.3
Jack and the Beanstalk,5.0
Le lion savant,6.7
Le marchand de ballons,4.4
Mother Goose Nursery Rhymes,3.2
Le pommier,5.6
Pour secouer la salade,6.5
La première gamelle,6.2
The Prince of Darkness,4.9
Procesión de las hijas de María de la parroquia de Sans,4.6
Quadrille réaliste,4.9
Midwife to the Upper Classes,6.2
Demolishing and Building Up the Star Theatre,6.8
Trompé mais content,3.8
The Troublesome Fly,6.6
The Devil's Money Bags,6.0
Uncle Josh at the Moving Picture Show,5.7
A Peculiar Cabinet,6.0
Alcohol and Its Victims,7.2
A Trip to the Moon,3.8
The Wild Man of Borneo,4.2
L'équilibriste,4.7
Alice in Wonderland,5.2
Les apaches pas veinards,5.0
Les aventures d'un voyageur trop pressé,5.8
The Enchanted Box,4.5
Les braconniers,5.3
Buffalo Bill's Parade,5.3
Buffalo Bill's Street Parade,5.1
Cake-walk de la pendule,5.1
Carreras de bicicletas en el parque,5.0
La chasse au cambrioleur,5.2
A Chess Dispute,3.9
Comme on fait son lit on se couche,5.8
How Monsieur Takes His Bath,4.1
Compagnons de voyage encombrants,7.4
Dorothy's Dream,5.8
Enlèvement en automobile et mariage précipité,4.5
An Extraordinary Cab Accident,4.9
Faust and Mephistopheles,4.8
Le fiancé ensorcelé,4.2
The Great Train Robbery,6.5
La guirlande merveilleuse,4.0
Gulliver en el país de los gigantes,4.9
Capital Execution,7.7
Hiawatha,6.5
Illusionniste renversant,4.3
Jocko musicien,5.9
Kit Carson,5.7
Life of an American Fireman,5.9
Le liqueur du couvent,3.0
Lutteurs américains,2.0
La main du professeur Hamilton ou le roi des dollars,4.8
Mary Jane's Mishap,4.0
The Messenger Boy's Mistake,4.4
Modelage express,5.4
La mouche,5.0
The Music Lover,4.9
N.Y. Fire Department Returning,4.3
Ne bougeons plus,4.6
Nos bons étudiants,5.5
"Panorama of Riker's Island, N.Y.",6.0
The Pioneers,5.5
Potage indigeste,5.0
La poule fantaisiste,4.6
Puerto de Barcelona,7.8
Rip Van Winkle,4.8
The Kingdom of the Fairies,4.5
Répétition dans un cirque,4.8
Secours aux naufragés,6.4
Service précipité,4.7
The Sick Kitten,5.7
Les surprises de l'affichage,7.8
Uncle Tom's Cabin,4.1
Uncle Tom's Cabin,5.7
La valise enchantée,5.9
Le voleur sacrilège,5.4
Voyage of the 'Arctic',6.7
Après la fête,4.9
L'assassinat du courrier de Lyon,5.8
Behind the Scenes,6.6
Rum vs. Cherries,5.4
Le coffre enchanté,4.6
A Collier's Life,4.0
Comment on disperse les foules,3.6
Les deux rivaux,6.3
Les enfants du miracle,5.0
La gavotte de la reine,5.5
A Gentleman of France,5.7
The Great Train Robbery,6.9
The Land Beyond the Sunset,5.5
La leçon de pipeau,4.9
L'oiseau envolé,6.0
Opening the Williamsburg Bridge,6.4
Personal,6.5
"Pierrot, Murderer",5.0
Le pompon malencontreux,5.8
The Pearl Fisher,6.0
Railroad Smashup,5.1
A Railway Tragedy,6.1
Rescued by Rover,6.4
An Impossible Voyage,4.9
The Abductors,5.5
Adventures of Sherlock Holmes,5.5
Bohemios,5.0
"Corrida de beneficencia en Zaragoza, por Quinito y Montes",4.3
Coso y Paseo de Santa Engracia (Calles y plazas de Zaragoza),5.5
The Wig Chase,3.9
The Effects of Too Much Scotch,5.2
Departure of Peary and the Roosevelt from New York,5.6
Desde el coso a la calle Cerdán (Calles y plazas de Zaragoza),4.8
The Inexperienced Chauffeur,6.1
El dúo de la Africana,6.8
Esmeralda,4.7
Funeral of Hiram Cronk,5.2
Gigantes y cabezudos,4.0
Los guapos de la Vaquería del Parque,5.9
Los guapos del parque,5.8
The Electric Hotel,5.7
El húsar de la guardia,5.4
Juanito el forzudo,6.1
The Kleptomaniac,4.0
The Life of Charles Peace,3.6
The Little Train Robbery,4.6
The Moonshiners,7.4
Moose Hunting in Newfoundland,6.2
New York Subway,5.8
Hanging at Jefferson City,5.5
Pennsylvania Tunnel Excavation,6.7
Plaza de la Magdalena (Calles y plazas de Zaragoza),7.7
"Raffles, the Amateur Cracksman",5.8
Reuben in the Opium Joint,6.1
Se da de comer,5.8
Los sitios de Chile,5.2
Torrero y la ribera (Calles y plazas de Zaragoza),5.1
The Wooing and Wedding of a Coon,6.9
The '?' Motorist,5.7
The Anarchist's Mother-in-Law,5.2
Apachentanz,5.8
"Arrival of Immigrants, Ellis Island",6.8
"Bilbao, Portugalete y los Altos Hornos",4.8
Bonden i København,5.5
Branden i Frihavnen,5.5
Caros død,5.6
Cerveza gratis,6.8
Kong Christian d. IXs Bisættelse,5.7
The Dancer's Dream,5.2
Dream of a Racetrack Fiend,5.4
Dream of a Rarebit Fiend,6.1
Ferias en San Sebastián y Cabalgata en la Ría,6.6
Fiskerliv i Norden,7.5
En foræring til min Kone,5.6
Proklamationen af Kong Frederik d. VIII,7.0
Fæstningskrigen,6.5
The Hand of the Artist,6.2
The Haunted Hotel,7.9
Humorous Phases of Funny Faces,4.0
Den hvide slavinde,4.2
Hævnet,5.3
Kathleen Mavourneen,5.8
Los kikos,5.0
Konfirmanden,6.1
Ladrones burlados,4.8
The Life of a Cowboy,4.1
Os Lusíadas,5.3
Mellem Aber og Bjørne,4.2
A Modern Oliver Twist,5.0
The Night Before Christmas,5.4
Professorens Morgenavis,5.8
The 400 Tricks of the Devil,5.1
Rosenborg Have,6.3
Røverhøvdingens Flugt og Død,4.7
San Francisco Disaster,4.6
The San Francisco Earthquake,4.3
Secreto de confesión,5.6
Den sorte maske,4.5
The Story of the Kelly Gang,4.8
"20,000 Leagues Under the Sea",4.8
Ali Baba and the Forty Thieves,4.8
"Angelo, Tyrant of Padua",5.1
"An Awful Skate; or, the Hobo on Rollers",5.3
The Bandit Makes Good,4.8
A Batalha das Flores no Campo Grande,5.3
Bauernhaus und Grafenschloß,6.6
Ben Hur,6.4
The Lady with the Camellias,4.7
El ciego de la aldea,4.6
Concurso de sardanas en el parque Guell,5.5
A Curious Dream,2.7
La dea del mare,5.6
Der var engang,5.2
Descoberta da América por Cristovão Colombo,4.4
Dr. Skinum,5.6
The Prodigal Son,5.6
Eureka Stockade,4.9
Fiestas de San Antonio,2.8
The Flight from the Seraglio,5.2
From the Rococo Times,5.2
Fyrtøjet,3.6
The Magic Mirror,5.6
"Hamlet, Prince of Denmark",5.5
Polar Bear Hunt,6.1
Lohengrin,5.9
Lion Hunting,5.8
The Magic Fountain Pen,3.8
A Misalliance,5.6
Mordet paa Fyn,5.6
Mr. Gay and Mrs.,3.6
La muerte del tirano,4.6
En ny hat til Madammen,5.5
Othello,4.1
Othello,6.2
In the Sultan's Power,5.7
Procesión marítima en Santa Cristina,3.8
O Rapto de Uma Actriz,3.8
The Red Spectre,5.8
Robbery Under Arms,5.6
Romería a San Medín,5.8
The Robber's Sweetheart,5.5
Salaviinanpolttajat,4.8
Stalking and Shooting Caribou in Newfoundland,4.7
The Will,5.0
That Fatal Sneeze,5.6
Tierra baja,5.6
The Magic Bag,6.3
The Ugly Duckling,3.5
Villafranca: Fiestas del Drac y bailes típicos,4.4
Yale Laundry,5.0
'Ostler Joe,7.4
The Adventures of Dollie,5.7
After Many Years,5.6
Hamlet,6.4
Hamlet,5.4
Love That Kills,5.3
The Anarchist's Sweetheart,6.1
Antony and Cleopatra,5.2
As You Like It,5.8
The Assassination of the Duke de Guise,5.8
At the Crossroads of Life,7.0
At the French Ball,5.3
An Awful Moment,6.0
Balked at the Altar,6.7
The Bandit's Waterloo,5.7
Barbara Fritchie: The Story of a Patriotic American Woman,3.6
Behind the Scenes,4.3
Betrayed by a Handprint,5.9
Biblical Scenes,4.8
Bjørnejagten,5.8
The Black Viper,6.0
Bobby's Kodak,4.9
The Boston Tea Party,6.0
"The Boy Detective, or the Abductors Foiled",5.3
A Calamitous Elopement,5.3
The Call of the Wild,4.6
Los calzoncillos de Tony,3.2
The Grateful Dog,5.2
Carreras de caballos de 1908,4.6
The Puppet's Nightmare,5.8
Caught by Wireless,6.1
The Christmas Burglars,4.6
Humanity Through the Ages,5.8
Classmates,4.4
The Clubman and the Tramp,6.2
Los competidores,6.0
Concealing a Burglar,3.8
Corrida de toros con Antonio Fuentes,4.9
Corrida de toros con Ricardo Torres 'Bombita',4.7
The Count of Monte Cristo,4.6
Cupid's Pranks,6.4
El curioso impertinente,6.2
Desdemona,6.4
The Devil,3.6
La Dolores,4.6
Don Juan Tenorio,8.8
Don Quijote,6.0
Don Álvaro o la fuerza del sino,5.8
Ex-Convict No. 900,5.6
Excursión a Montserrat,6.0
The Fairylogue and Radio-Plays,6.6
Falsely Accused!,5.6
A Famous Escape,6.2
A Fantasy,5.7
The Fatal Hour,5.2
Father Gets in the Game,5.0
The Feud and the Turkey,4.3
Fiestas del carnaval de 1908 en Barcelona,5.1
"A Florida Feud: or, Love in the Everglades",5.6
The Flower Girl of Paris,5.1
For Love of Gold,7.8
For a Wife's Honor,4.7
The French Maid,4.9
El fusilamiento de Dorrego,5.7
Gerona monumental,6.6
The Girl and the Outlaw,4.4
The Greaser's Gauntlet,7.7
El guardia burlado,7.2
The Guerrilla,5.3
The Heart of O Yama,5.4
The Helping Hand,5.1
Her First Adventure,4.8
His Day of Rest,5.5
Hulda's Lovers,4.0
The Humpty Dumpty Circus,5.5
Inauguración de la exposición hispano-francesa,6.4
"Ingomar, the Barbarian",3.9
The Ingrate,5.8
The Invisible Fluid,4.8
Julius Caesar,5.1
The Kentuckian,5.1
King of the Cannibal Islands,5.8
The King's Messenger,8.7
Leah the Forsaken,6.7
The Life of an American Cowboy,3.5
Lonesome Junction,5.1
Macbeth,6.0
Making Moving Pictures,5.1
"Mallorca, isla dorada",5.1
The Man and the Woman,2.6
The Man in the Box,3.4
The Red Barn Mystery,2.9
María Rosa,5.0
The Merchant of Venice,5.1
Mixed Babies,5.6
Monasterio de Poblet,4.5
Monday Morning in a Coney Island Police Court,4.8
Money Mad,3.8
Os Moços de Fretes Têm Sede,6.4
Mr. Jones at the Ball,7.0
Mrs. Jones Entertains,5.6
The Music Master,5.7
"Old Isaacs, the Pawnbroker",6.5
Othello,6.2
The Outlaw,6.5
Over the Hill to the Poorhouse,4.9
The Paris Hat,5.8
El pastorcito de Torrente,4.9
The Pirate's Gold,5.6
The Planter's Wife,3.6
Poverty and Compassion,7.3
The Princess in the Vase,5.6
Professional Jealousy,6.4
"Raffles, an American Cracksman",6.0
The Reckoning,5.8
The Reg Girl,6.6
The Red Man and the Child,5.3
Rescued from an Eagle's Nest,5.4
Richard III,3.6
The Roman,4.9
Romance of a Jewess,5.2
The Romance of an Egg,6.2
Romeo and Juliet,7.0
The Dream of an Opium Fiend,4.9
The Sculptor's Nightmare,8.3
She,7.8
Sherlock Holmes,5.3
Sherlock Holmes II: Raffles Escaped from Prison,5.9
Sherlock Holmes III: The Detective's Adventure in the Gas Cellar,5.4
"Simulacro de bomberos en la Plaza de Cataluña, de Barcelona",4.0
A Smoked Husband,6.6
The Snowman,6.6
The Song of the Shirt,4.5
The Stage Rustler,5.7
The Stage-Struck Daughter,5.2
The Stolen Jewels,6.4
Svend Dyrings hus,5.9
Knight of Black Art,6.0
The Taming of the Shrew,4.2
The Tavern Keeper's Daughter,3.8
The Test of Friendship,4.5
Thompson's Night Out,3.8
To the Custody of the Father,3.9
Susceptible Youth,5.8
The Last Days of Pompeii,5.4
An Unexpected Santa Claus,5.4
The Valet's Wife,4.7
The Vaquero's Vow,4.4
"Hercules the Athlete; or, Love Behind the Scenes",5.0
The Viking's Daughter: The Story of the Ancient Norsemen,4.8
"A Visit to the Seaside at Brighton Beach, England",5.3
When Knighthood Was in Flower,5.1
When Knights Were Bold,5.3
Where the Breakers Roar,5.8
Wiegenlied,5.1
A Woman's Way,4.3
The Yellow Peril,5.7
The Zulu's Heart,4.6
The Battle in the Clouds,5.0
Amor heroico,5.2
And a Little Child Shall Lead Them,5.1
Andreas Hofer,5.0
The Apache Girl's Revenge,5.4
The Artist's Revenge,5.2
As It Is in Real Life,6.2
At the Altar,3.2
An Attempt to Smash a Bank,7.1
Aventuras de Pepín,5.1
The Awakening,5.4
A Baby's Shoe,6.6
The Bailiff and the Dressmakers,4.9
The Child Benefactor,4.2
El barranco del lobo,5.2
Baño imprevisto,5.7
The Best Man Wins,6.8
The Better Way,5.4
Betty's Choice,5.3
Bill Sharkey's Last Game,6.6
The Black Sheep,5.6
The Blind Man,5.5
El blocao Velarde,5.2
Bluebeard,6.4
La bocana de Mar Chica,5.8
The Brahma Diamond,5.1
The Broken Locket,7.6
A Message to Napoleon,6.1
The Burglar and the Child,5.1
A Burglar's Mistake,5.8
Campaña del Riff,4.7
The Cardinal's Conspiracy,3.8
Celos gitanos,4.0
A Change of Heart,5.1
A Child of the Forest,5.6
The Children's Friend,5.0
Choosing a Husband,6.0
"Comata, the Sioux",5.8
Confidence,5.7
A Convict's Sacrifice,5.5
Corazón de madre,7.1
The Cord of Life,6.3
A Corner in Wheat,4.1
The Country Doctor,5.1
A Coward's Courage,6.4
The Cricket on the Hearth,5.9
Os Crimes de Diogo Alves,4.8
The Criminal Hypnotist,5.3
A Cultura do Cacau,5.2
The Curse of Money,7.2
The Curtain Pole,3.8
The Day After,7.1
De Garraf a Barcelona,4.8
The Death Disc: A Story of the Cromwellian Period,6.8
The Death of Ivan the Terrible,5.3
The Deception,5.4
Un día en Xochimilco,5.8
Don Juan heiratet,5.7
The Painting of a Miraculous Spider,5.2
Dos guapos frente a frente,5.7
Los dos hermanos,5.5
The Drive for a Life,5.6
A Drunkard's Reformation,5.7
The Eavesdropper,6.0
Edgar Allan Poe,6.3
Eloping with Auntie,5.7
Entrevista de los Presidentes Díaz-Taft,4.7
Eradicating Aunty,5.1
The Expiation,4.0
Fabricación del corcho en Sant Feliu de Guixols,6.0
The Faded Lilies,5.0
A Fair Exchange,4.1
Faldgruben,5.4
Farmer Giles' Visit to London,4.7
The Fascinating Mrs. Francis,5.8
A Father's Mistake,5.0
Fellow Clerks,5.9
Fiesta de toros,3.6
Fiestas de Santa Lucía - Belenes,5.5
Fiestas en La Garriga,5.4
A Fool's Revenge,4.3
Fools of Fate,5.8
The Foundling,5.7
Bakchisarayskiy fontan,4.0
The French Duel,6.0
The Friend of the Family,6.8
Fuss and Feathers,6.0
Getting Even,6.7
The Gibson Goddess,5.4
Gira política de Madero y Pino Suárez,5.4
The Girls and Daddy,4.1
Le glas du père Césaire,5.3
The Golden Louis,6.4
The Grey Lady,5.6
The Red Domino,5.8
Guzmán el Bueno,3.6
"Hamlet, Prince of Denmark",7.4
Hansel and Gretel,3.1
The Heart of a Clown,6.4
The Heart of a Cowboy,5.4
The Heart of an Outlaw,5.6
Cycle Rider and the Witch,8.5
Her First Biscuits,5.8
Her Indian Hero,5.3
The Farmer's Grandson,4.0
The Hessian Renegades,5.8
